model,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_rmse_mean,tuned
HistGradientBoosting_tuned,0.6693938164252615,,,,True
HistGradientBoosting,0.6672438784073235,0.012132459025734083,27507.18065060283,45487.21354166122,False
RandomForest,0.6478392270409884,0.012665130184379009,29076.975051604437,46799.781464625805,False
DecisionTree,0.6275022077405504,0.02876891257968065,28417.455226910875,48105.531713417855,False
Ridge,0.5627262179415776,0.006272636081472578,40031.2618744155,52141.11873220533,False
LinearRegression,0.562611143728741,0.006280313666151613,40040.58087106785,52147.911252994716,False
Lasso,0.5609007244442348,0.009367680262420403,40096.71071746965,52253.20025754187,False
