model,r2,mae,rmse,is_tuned
HistGradientBoosting_tuned,0.6759095268771251,30674.110877273113,50766.359485996356,True
HistGradientBoosting,0.675575456005447,30616.910785679735,50792.51760412116,False
RandomForest,0.6520876778059361,32260.322663760322,52599.037080077665,False
LinearRegression,0.5695009707322668,42939.9804901392,58509.84890646685,False
Lasso,0.5694941772870548,42959.3035841981,58510.31055894199,False
Ridge,0.5694863366345292,42940.894246220974,58510.84337046424,False
DecisionTree,0.5189030573514543,35269.66443022088,61852.774715232095,False
